826.549	2686	2134
826.467	2681	2243
826.386	2805	2212
826.305	2784	2207
826.224	2753	2263
826.142	2775	2123
826.061	2750	2294
825.98	2764	2154
825.898	2784	2217
825.817	2739	2284
825.736	2932	2285
825.655	2843	2282
825.573	2753	2307
825.492	2838	2313
825.411	2812	2365
825.33	2806	2227
825.248	2764	2344
825.167	2893	2324
825.086	2956	2398
825.005	2862	2342
824.924	2968	2320
824.842	2919	2374
824.761	2827	2328
824.68	2976	2310
824.599	2858	2373
824.518	3068	2315
824.436	2923	2534
824.355	2966	2477
824.274	3009	2462
824.193	2958	2445
824.112	2989	2450
824.03	2944	2465
823.949	3123	2528
823.868	2970	2437
823.787	3128	2512
823.706	3167	2514
823.625	3086	2375
823.544	3154	2383
823.462	3130	2542
823.381	3065	2416
823.3	3050	2442
823.219	2996	2561
823.138	3156	2586
823.057	3071	2478
822.976	3122	2588
822.895	3174	2497
822.813	3125	2500
822.732	3100	2521
822.651	3101	2525
822.57	3191	2505
822.489	3178	2627
822.408	3301	2632
822.327	3140	2578
822.246	3146	2487
822.165	3260	2684
822.084	3169	2626
822.003	3126	2685
821.922	3196	2566
821.84	3250	2650
821.759	3322	2676
821.678	3280	2622
821.597	3256	2676
821.516	3224	2591
821.435	3272	2623
821.354	3237	2708
821.273	3331	2709
821.192	3246	2570
821.111	3287	2705
821.03	3275	2670
820.949	3287	2724
820.868	3302	2689
820.787	3339	2624
820.706	3281	2656
820.625	3233	2638
820.544	3178	2641
820.463	3206	2725
820.382	3292	2700
820.301	3225	2581
820.22	3254	2632
820.139	3259	2692
820.058	3204	2603
819.977	3357	2699
819.896	3396	2686
819.815	3182	2713
819.735	3359	2584
819.654	3218	2681
819.573	3279	2683
819.492	3324	2610
819.411	3193	2706
819.33	3207	2633
819.249	3255	2656
819.168	3232	2667
819.087	3188	2569
819.006	3242	2618
818.925	3230	2527
818.844	3102	2550
818.764	3010	2485
818.683	3100	2484
818.602	3074	2518
818.521	3046	2498
818.44	3148	2549
818.359	3030	2470
818.278	3110	2546
818.197	3117	2567
818.117	3116	2430
818.036	3036	2456
817.955	2908	2436
817.874	2993	2400
817.793	2914	2489
817.712	2970	2496
817.631	2971	2529
817.551	2972	2396
817.47	2985	2428
